CUSTID,GENDER,AGE,TV_REG,NGROUP,LCDATE,BILL,REGION,CLASS,ORGYN,AFFL,LTIME,OAC,S_MT,S_FVEG,S_TOIL,S_CONV
3904512,,56,London,D,27/05/1994,6000,South East,Gold,0,6,4,2,26.75,26.04,8.58,12.74
3904881,M,60,Yorkshire,D,24/04/1996,18000,North,Gold,0,7,2,7,36.65,49.3,22.48,5.58
3905446,F,,N East,E,03/05/1990,50,North,Silver,0,,8,2,19.88,35.46,9.66,10.55
3905667,F,50,Ulster,,22/02/1990,500,Midlands,Silver,1,10,9,4,28.83,26.18,31.76,12.44
3906418,M,66,London,E,26/10/1994,20000,South East,Gold,0,6,4,6,19.71,19.52,19.09,8.71
3906477,F,56,N West,C,23/05/1990,0,North,Tin,0,5,8,5,32.38,25.84,30.04,11.08
3906752,F,51,London,B,01/04/1991,0,South East,Tin,0,14,7,1,20.74,30.14,23.09,12.14
3906876,F,59,East,F,21/01/1994,0,Midlands,Tin,0,7,5,2,18.79,27.29,15.84,11.09
3907619,F,31,C Scotland,C,08/06/1993,6000,Scottish,Gold,1,6,5,3,26.98,38.69,12.83,12.19
3908003,F,65,London,C,24/02/1990,1000,South East,Silver,0,9,9,2,35.73,27.61,14.11,14.11
3908151,F,67,Midlands,E,20/06/1996,6000,Midlands,Gold,0,7,2,3,22.18,36.87,37.8,11.39
3908755,F,37,London,F,21/11/1994,3000,South East,Silver,1,2,4,5,34.55,27.44,14.62,12.62
3909050,F,,S & S East,B,09/05/1997,2400,South East,Silver,0,12,1,6,15.52,22.18,27.71,11.16
3909190,F,40,N West,F,29/03/1994,0,North,Tin,0,6,4,4,31.66,29.25,15.22,12.67
3909522,F,43,London,B,14/06/1993,600,South East,Silver,0,6,5,8,28.13,28.09,18.38,9.71
3910040,F,45,C Scotland,D,27/01/1994,0,Scottish,Tin,0,7,5,6,28.8,31.55,8.69,10.21
3910415,,54,N West,C,07/11/1997,3000,North,Silver,0,10,1,5,17.76,35.19,26,12.32
3910571,M,45,London,B,01/07/1990,0,South East,Tin,0,9,8,5,30.92,38.52,24.53,6.78
3912094,F,49,East,F,01/02/1990,0,Midlands,Tin,1,11,9,4,19.18,34.37,33.31,9.41
3912280,U,70,S & S East,A,02/04/1997,6000,South East,Gold,0,8,1,6,24.41,18.71,16.64,2.1
3912515,F,69,Midlands,D,20/02/1990,2000,Midlands,Silver,0,8,9,3,30.67,39.86,16.57,14.89
3912957,M,,Ulster,,02/07/1997,2000,Midlands,Silver,0,,1,6,38.49,47.05,29.69,4.31
3913252,F,68,Wales & West,E,11/03/1996,11000,Midlands,Gold,0,4,2,1,29.35,21.06,21.29,12.08
3913317,M,70,East,C,16/02/1987,3000,Midlands,Silver,0,12,12,2,39.08,37.39,35.17,4.93
3913724,M,48,London,D,07/04/1994,0,South East,Tin,0,11,4,6,24.09,37.34,6.78,6.88
3914127,F,56,London,F,23/01/1989,530,South East,Silver,0,8,10,6,5,35.61,19.54,11.58
3915379,M,50,Wales & West,B,03/02/1990,420,Midlands,Silver,0,10,9,2,35.84,32.97,2.59,6.67
3915565,M,65,Yorkshire,F,16/02/1994,5000,North,Silver,0,10,5,1,17.65,24.86,10.07,7.1
3915808,U,35,Midlands,E,03/08/1988,0,Midlands,Silver,0,7,10,2,8.59,9.54,0.5,10.9
3915867,F,38,Midlands,B,30/06/1997,6000,Midlands,Gold,0,7,1,5,20.22,24.48,13.91,10.99
3916448,M,71,London,B,20/05/1996,9000,South East,Gold,0,7,2,6,15.72,42.58,32.43,8.16
3916731,M,57,London,A,21/03/1997,5281,South East,Gold,0,6,1,3,21.82,35.45,9.37,4.27
3917428,F,53,London,B,28/10/1995,3000,South East,Silver,0,8,3,3,30.43,30.82,28.38,12.85
3918068,F,53,London,A,21/12/1993,0,South East,Tin,0,7,5,6,17.96,39.72,7.22,10.11
3918408,,41,East,F,02/11/1993,0,Midlands,Tin,1,10,5,3,22.05,22.31,15.43,8.5
3918939,M,51,Yorkshire,D,04/10/1995,20569,North,Platinum,0,5,3,5,27.84,34.39,16.51,6.23
3920569,F,73,Midlands,F,02/11/1995,20740,Midlands,Platinum,0,9,3,6,21.18,26.92,14.07,11.99
3921123,F,54,London,E,31/03/1992,6108,South East,Gold,1,14,6,5,17.86,25.73,27.01,8.6
3921913,F,72,Midlands,C,12/08/1993,4000,Midlands,Silver,0,5,5,1,24.21,38.79,12.34,13.72
3922650,M,48,East,D,06/10/1988,50,Midlands,Silver,0,8,10,6,32.06,30.23,30.31,6.43
3923150,M,60,N West,D,14/01/1980,12700,North,Gold,0,12,19,2,1.1,47.01,29.33,7.99
3923959,F,63,N East,C,10/01/1994,0,North,Tin,1,6,5,3,26.12,21.27,28.15,12.2
3925897,M,31,London,C,15/07/1997,6000,South East,Gold,0,5,1,6,26.64,41.62,21.85,5.76
3926516,M,78,Yorkshire,C,14/06/1990,600,North,Silver,0,9,8,3,16.58,21.96,10.3,6.85
3926605,U,55,Wales & West,C,02/11/1987,0,Midlands,Tin,0,4,11,8,27.38,27.55,19.68,9.67
3927318,,52,London,C,01/10/1991,0,South East,Tin,0,6,7,3,22.97,23.84,6.5,15.57
3928284,F,76,Midlands,E,17/05/1986,2000,Midlands,Silver,0,9,12,4,12.26,28.41,37.42,12.46
3928764,F,42,Midlands,C,01/02/1990,0,Midlands,Tin,0,14,9,6,16.57,27.41,25.4,14.86
3930459,F,52,East,D,07/01/1994,0,Midlands,Tin,0,5,5,3,22.72,34.16,17.07,9.82
3932354,,57,Yorkshire,A,03/06/1970,2500,North,Silver,0,3,28,5,20.29,29.32,22.14,12.44
3932680,F,22,N East,D,29/05/1997,1000,North,Silver,1,8,1,6,30.48,25.79,20.77,13.11
3933350,F,43,Midlands,D,26/03/1991,12000,Midlands,Gold,1,11,7,3,28.53,31.41,23.6,9.18
3933423,,45,S & S East,C,23/05/1990,0,South East,Tin,0,9,8,5,20.18,26.22,14.61,13.38
3933555,F,52,N West,F,,12105,North,Gold,0,6,,3,23.92,31.19,33.94,11.26
3933962,F,72,,F,26/03/1997,4000,,Silver,0,4,1,7,43.54,25.81,33.06,14.4
3934888,F,73,London,B,19/09/1994,12000,South East,Gold,0,6,4,2,28.6,24.32,9.78,10.11
3935329,F,75,Wales & West,F,20/05/1991,9469,Midlands,Gold,1,9,7,8,21.34,34.74,22.29,11.58
3935671,F,74,C Scotland,B,01/01/1990,720,Scottish,Silver,1,12,9,6,21.75,30.99,27.98,16.18
3936007,,44,Midlands,C,01/06/1990,0,Midlands,Tin,0,,8,1,24.78,37.56,8.99,10.53
3936511,F,58,Yorkshire,D,13/02/1991,0,North,Tin,0,8,8,3,25.11,25.71,19.46,12.14
3938999,F,48,East,E,15/12/1993,0,Midlands,Tin,0,14,5,4,29.91,19.6,15.33,9.45
3939804,F,,London,A,18/12/1993,0,South East,Tin,0,9,5,7,21.17,30.43,24.72,11.57
3940519,F,50,London,B,14/06/1989,13200,South East,Gold,0,9,9,3,27.21,27.95,12.38,9.61
3942155,M,57,S West,F,09/11/1987,0,South West,Tin,0,8,11,2,13.33,57.21,25.2,6.26
3943623,F,79,East,C,04/04/1996,3000,Midlands,Silver,0,2,2,1,10.81,31.34,11.9,11.78
3945979,,75,Wales & West,C,09/03/1987,30236,Midlands,Platinum,0,5,11,3,20.89,25.2,22.18,10.92
3946959,F,,London,B,02/10/1993,0,South East,Tin,1,18,5,8,27.38,28.06,26.07,11.76
3948072,F,59,London,C,30/03/1994,4000,South East,Silver,0,5,4,8,33.03,19.16,22.69,11.06
3950107,F,34,Midlands,B,15/02/1994,3000,Midlands,Silver,1,8,5,3,20.47,22.79,16.51,9.81
3954110,M,52,N West,C,21/01/1994,0,North,Tin,0,7,5,5,22.66,41.73,27.84,5.17
3955133,F,74,C Scotland,F,15/06/1987,3800,Scottish,Silver,0,11,11,7,26.6,30.12,11.26,14.11
3955303,F,71,East,C,08/08/1991,28334,Midlands,Platinum,0,9,7,6,22.18,30.71,21.38,12.97
3956601,F,38,London,F,29/03/1994,0,South East,Tin,1,13,4,1,16.61,40.79,28.87,9.91
3956997,U,,East,A,23/12/1993,4000,Midlands,Silver,1,12,5,6,8.97,17.74,5.98,21.57
3957195,,75,London,D,28/07/1986,1000,South East,Silver,0,6,12,6,24.22,34.54,10.28,13.69
3958051,F,40,N West,F,24/09/1993,0,North,Tin,0,6,5,8,29.58,22.09,22.6,11.46
3958515,F,50,Yorkshire,D,01/01/1990,0,North,Tin,0,15,9,3,14.7,26.67,10.3,13.26
3960463,F,46,Wales & West,,02/09/1995,26449,Midlands,Platinum,0,7,3,8,23.12,36.18,7.45,9.89
3961915,F,35,Midlands,F,02/03/1994,0,Midlands,Silver,0,8,4,1,30.95,25.99,22.69,13.2
3963276,F,54,C Scotland,C,14/05/1997,600,Scottish,Silver,0,19,1,4,21.1,21.26,11.93,15.53
3964825,F,43,Wales & West,D,01/11/1987,720,Midlands,Silver,0,10,11,4,26.57,33.73,12.62,9.3
3965910,M,51,S & S East,C,21/01/1994,0,South East,Tin,0,5,5,5,29.57,16.6,21.12,7.46
3966712,F,50,Midlands,F,15/04/1997,0,Midlands,Tin,0,11,1,4,26.99,26.37,22,12.5
3967565,M,65,East,D,14/05/1993,7720,Midlands,Gold,1,16,5,2,19.45,56.34,2.89,4.27
3967948,,68,East,B,05/02/1992,32053,Midlands,Platinum,0,6,7,1,14.5,32.66,13.42,8.26
3969754,U,74,S & S East,E,18/05/1966,1000,South East,Silver,0,8,32,2,15.64,15.64,48.39,24.88
3969983,F,63,Midlands,B,07/01/1991,5100,Midlands,Gold,0,6,8,7,26.31,29.09,28.61,13.12
3970116,F,57,S & S East,A,20/02/1993,960,South East,Silver,0,13,6,2,29.48,35.89,15.19,10.05
3970639,F,70,S & S East,B,27/02/1992,6000,South East,Gold,0,5,6,3,23.69,33.52,23.76,11.12
3970965,U,32,London,C,11/01/1994,0,South East,Tin,0,6,5,4,12.5,13.51,10.84,18.01
3971244,M,65,Midlands,E,20/02/1993,2500,Midlands,Silver,1,16,6,3,31.07,29.95,19.44,11.59
3971554,F,65,N West,D,18/10/1996,6000,North,Gold,0,6,2,4,29.06,35.75,41.2,13.87
3972038,,46,London,E,24/02/1990,1500,South East,Silver,0,6,9,2,31.23,33.47,15.02,10.89
3978257,M,71,S & S East,B,17/06/1993,4290,South East,Silver,0,10,5,6,26.73,35.09,10.44,8.22
3978524,F,41,London,C,23/04/1990,0,South East,Tin,1,5,8,3,19.95,36.9,25.03,13.23
3979695,F,,N West,D,21/10/1997,1000,North,Silver,1,6,1,7,32.76,32.3,27.49,9.57
3980308,M,72,London,F,31/10/1979,3000,South East,Silver,0,,19,8,33.14,32.74,16.34,9.84
3981126,M,49,Midlands,F,14/10/1994,0,Midlands,Tin,0,10,4,2,20.79,42.89,16.24,2.8
3983153,F,64,S & S East,B,01/03/1978,6000,South East,Gold,0,7,20,7,21.53,29.05,18.49,13.55
3983374,M,55,Yorkshire,D,07/10/1988,0,North,Tin,0,5,10,2,26.46,40.03,21.32,8.86
3984710,F,41,London,C,14/01/1994,1000,South East,Silver,0,10,5,4,28.83,36.54,10.42,12.26
3985369,F,74,London,C,14/05/1990,0,South East,Tin,1,18,8,5,24.8,14.65,26.54,11.62
3986594,,53,Midlands,C,10/07/1990,2000,Midlands,Silver,0,13,8,8,19.25,30.77,7.3,15.85
3986713,U,43,London,D,08/07/1996,6000,South East,Gold,0,7,2,5,17.45,15.23,11.72,11.89
3987752,F,43,Wales & West,F,01/03/1990,0,Midlands,Tin,0,10,8,5,25.22,28,26.23,11.07
3988449,M,55,Midlands,D,01/06/1988,0,Midlands,Tin,0,10,10,4,20.4,36.29,4.56,3.56
3990699,F,30,Yorkshire,U,21/02/1994,2400,North,Silver,0,12,5,6,37.36,19.62,30.64,12.06
3991326,F,51,Wales & West,B,01/03/1990,0,Midlands,Tin,1,13,8,4,31.46,27.9,16.78,13.53
3992225,F,47,London,F,01/02/1990,0,South East,Tin,1,11,9,1,33.38,25.29,22.16,12.5
3993418,F,64,C Scotland,D,12/09/1997,6000,Scottish,Gold,0,14,1,1,28.98,39.84,33.71,13.71
3996034,U,48,London,D,10/03/1988,500,South East,Silver,0,12,10,8,19.81,20.7,17.23,17.27
3998142,M,60,S & S East,E,07/02/1994,1500,South East,Silver,0,2,5,7,46.56,39.86,18.95,5.61
3998797,M,58,London,C,20/06/1996,500,South East,Silver,0,9,2,8,29.92,27.54,43.75,6.08
3999750,M,48,N West,B,09/01/1996,215,North,Silver,1,9,3,1,21.83,21.68,28.04,5.65
4000994,U,68,East,C,30/12/1988,22108,Midlands,Platinum,0,4,10,1,25.29,2.81,17.6,17.16
4002334,F,42,London,C,01/04/1988,300,South East,Silver,1,8,10,2,25.08,23.75,5.66,10.62
4003950,F,72,London,C,27/02/1981,15000,South East,Gold,0,7,17,7,23.09,18.36,9.12,8.47
4007018,M,34,East,F,01/08/1996,300,Midlands,Silver,0,6,2,1,37.42,32.76,27.45,10.7
4009428,M,,N East,C,27/03/1990,3500,North,Silver,0,5,8,3,18.45,28.61,28.55,9.02
4010809,M,49,S & S East,D,23/11/1994,0,South East,Tin,0,7,4,4,15.25,35.39,13.46,9.32
4014057,F,39,Midlands,F,23/05/1996,300,Midlands,Silver,1,5,2,8,41.54,32.79,15.57,11.67
4015274,F,52,East,C,19/03/1994,0,Midlands,Tin,1,17,4,3,26.25,31.38,20.64,13.62
4015797,F,53,S & S East,B,10/09/1990,1080,South East,Silver,0,11,8,7,38.34,20.6,10.48,12.89
4022092,M,60,London,B,20/09/1993,0,South East,Tin,0,9,5,5,26.67,58.56,40.45,8.08
4027507,M,36,London,E,01/10/1990,0,South East,Tin,1,6,8,6,35.88,29.39,18.86,4.18
4028058,U,35,C Scotland,F,20/10/1993,2625,Scottish,Silver,0,10,5,7,13.74,15.76,21.78,8.55
4029895,U,55,Border,C,14/02/1994,1000,Scottish,Silver,0,14,5,5,9.57,3.7,26.26,12.92
4031938,F,,N East,C,15/03/1985,0,North,Tin,0,10,13,4,26.52,36.49,19.6,11.33
4032136,M,46,Wales & West,F,01/10/1991,0,Midlands,Tin,0,8,7,4,33.4,34.31,27.18,3.52
4033256,M,56,S & S East,C,28/01/1993,6000,South East,Gold,0,15,6,8,29.86,34.78,36.59,7.75
4034139,M,48,N West,C,14/08/1996,0,North,Tin,0,8,2,3,12.01,44.35,49.19,9.83
4034902,M,39,N West,D,16/12/1993,0,North,Tin,0,7,5,3,9.76,24.98,3.25,8.78
4035186,,74,London,F,10/10/1996,1000,South East,Silver,0,10,2,6,23,35.05,0.22,13.78
4036719,M,52,S & S East,C,01/07/1990,0,South East,Tin,0,8,8,8,45.71,38.52,10.32,8.74
4038371,F,63,Wales & West,C,11/11/1994,20050,Midlands,Platinum,0,14,4,7,40.33,30.69,19.37,12.76
4043898,F,76,Yorkshire,E,11/03/1992,6053,North,Gold,0,9,6,2,36.24,30.77,12.71,14.15
4045467,F,54,Yorkshire,B,03/04/1987,4000,North,Silver,0,8,11,6,23.82,27.05,14.4,11.9
4047702,M,49,Midlands,D,18/03/1996,4000,Midlands,Silver,1,11,2,5,28.14,35.25,20.73,2.96
4048482,U,62,N East,B,01/06/1990,0,North,Tin,0,12,8,4,22.15,13.48,39.97,9.35
4048873,F,53,London,C,28/08/1969,3000,South East,Silver,0,4,29,5,27.97,21.35,22.92,11.04
4051661,U,74,London,E,03/12/1985,63053,South East,Platinum,0,11,13,1,22.74,13.57,15.56,9.62
4052153,,43,,F,01/03/1990,0,,Tin,0,9,8,8,22.66,29.94,23.32,10.68
4052811,F,68,Wales & West,D,16/05/1994,6000,Midlands,Gold,1,13,4,1,21.37,46.83,13.11,11.98
4053362,,56,East,C,01/09/1993,1000,Midlands,Silver,0,6,5,1,27.63,20.9,9.73,10.51
4055276,M,41,N East,F,02/09/1997,3500,North,Silver,1,7,1,4,32.07,21.88,30.27,7.56
4055497,M,61,London,C,18/10/1986,500,South East,Silver,0,4,12,1,1.29,27.38,13.42,5.15
4056361,F,74,N West,D,14/01/1991,10500,North,Gold,0,6,8,7,12.09,34.07,28.71,11.81
4057635,M,63,London,E,15/03/1984,22653,South East,Platinum,0,9,14,7,21.45,28.98,41.01,8.6
4058739,F,27,London,F,19/05/1997,6050,South East,Gold,1,24,1,1,29.89,43.96,1.18,12.64
4059506,F,75,S West,D,10/03/1986,1091,South West,Silver,0,16,12,7,20.21,25.09,31.54,10.41
4061128,F,36,London,D,01/03/1990,0,South East,Tin,1,10,8,1,29.05,31.56,11.17,9.94
4061896,F,44,Midlands,C,01/07/1991,1628,Midlands,Silver,1,7,7,6,23.35,28,13.56,8.85
4062655,F,60,S & S East,F,14/05/1970,3000,South East,Silver,1,7,28,3,22.11,26.93,10.05,12.75
4062833,M,76,C Scotland,B,08/01/1969,6400,Scottish,Gold,0,6,30,8,35.96,24.17,3.39,3.6
4063325,M,44,East,D,07/10/1997,420,Midlands,Silver,0,10,1,8,34.13,43.65,10.69,6.4
4063929,M,50,Wales & West,E,10/06/1988,0,Midlands,Tin,0,6,10,1,26.08,54.8,19.33,4.36
4065182,M,60,N East,D,15/09/1993,3000,North,Silver,0,12,5,4,25.78,21.4,3.9,11.28
4065344,M,75,Yorkshire,D,08/01/1979,2000,North,Silver,0,9,20,4,10.62,42.09,27.22,7.99
4070097,F,39,C Scotland,C,17/09/1997,8500,Scottish,Gold,1,10,1,6,21.03,28.44,11.76,9.54
4071190,F,34,London,,15/10/1992,10,South East,Silver,1,15,6,5,25.73,32.41,9.43,10.92
4072065,F,29,London,E,01/05/1991,0,South East,Tin,1,14,7,6,21.64,31.29,20.34,13.14
4073037,F,75,Midlands,B,08/11/1994,10000,Midlands,Gold,0,,4,5,27.35,23.97,13.56,13.98
4073606,F,47,Midlands,E,30/12/1993,0,Midlands,Tin,0,10,5,6,24.36,28.27,19.2,9.6
4073967,,45,London,B,14/01/1991,12000,South East,Gold,0,14,8,7,31.12,22.27,22.81,9.07
4074645,F,45,Border,F,15/12/1989,6000,Scottish,Gold,0,8,9,2,27.8,23.7,20.89,13.19
4075196,F,37,London,D,,0,South East,Tin,1,14,,8,17.69,38.97,27.42,11.75
4078136,M,52,Yorkshire,B,14/04/1994,4175,North,Silver,0,9,4,8,24.27,31.57,8.51,9.64
4078268,M,39,Midlands,D,23/12/1993,0,Midlands,Tin,1,10,5,1,24.31,31.02,10.73,5.34
4079817,,27,Wales & West,F,03/11/1993,0,Midlands,Tin,0,10,5,1,25.42,29.98,14.45,9.58
4080505,F,39,London,C,15/01/1991,11250,South East,Gold,1,21,8,4,26.91,31.44,23.89,9.8
4080742,F,64,East,A,01/01/1990,0,Midlands,Tin,1,11,9,6,25.23,27.24,25.73,13.27
4082001,M,33,Wales & West,D,06/05/1988,26,Midlands,Silver,1,10,10,3,33.97,14.83,31.57,9.57
4082109,,56,N West,A,04/04/1984,1000,North,Silver,0,,14,6,28,24.57,7.71,12.69
4083512,F,71,Midlands,C,27/04/1995,5000,Midlands,Silver,0,4,3,4,24.07,47.6,18.77,10.71
4087380,F,63,London,B,23/06/1988,1800,South East,Silver,1,4,10,6,15.45,23.4,14.99,10.37
4091051,F,47,Wales & West,,07/06/1996,12000,Midlands,Gold,0,7,2,4,20.97,39.69,12.88,13.23
4093860,F,55,N West,E,14/01/1991,500,North,Silver,0,6,8,1,16.06,29.74,11.42,14.05
4094387,F,54,London,D,30/03/1996,2000,South East,Silver,1,13,2,1,27.83,40.38,14.3,12.66
4095138,F,,Midlands,D,23/10/1997,6000,Midlands,Gold,0,9,1,6,24.61,36,11.83,15.61
4098625,,71,,B,03/04/1995,18000,,Gold,0,12,3,4,17.7,26.79,17.39,9.02
4099230,M,32,London,B,17/05/1994,0,South East,Tin,1,9,4,6,44.31,32.38,30.43,7.78
4100107,M,50,London,D,24/06/1997,4450,South East,Silver,0,9,1,3,29.09,30.29,35.13,6.21
4100425,M,34,Midlands,D,22/03/1994,0,Midlands,Tin,0,9,4,6,10.57,30.81,22.38,5.6
4101480,M,66,S West,F,06/12/1990,1500,South West,Silver,0,8,8,6,22.6,37.44,35.29,4.34
4102924,,70,London,F,23/07/1996,13000,South East,Gold,0,11,2,4,14.31,37.48,1.85,10.34
4103556,F,39,Yorkshire,,26/01/1994,0,North,Tin,1,21,5,1,29.64,27.36,25.99,14.34
4104501,M,66,Wales & West,C,23/05/1997,100,Midlands,Silver,1,12,1,3,13.82,37.14,9.58,5.58
4105710,M,64,N West,C,12/05/1997,6000,North,Gold,0,6,1,8,8.65,15.15,32.94,7.72
4105990,F,37,Midlands,B,03/06/1992,7000,Midlands,Gold,1,20,6,1,25.97,19.2,17.92,10.54
4106792,F,36,Midlands,E,17/03/1994,0,Midlands,Tin,1,11,4,1,20.65,23.43,22.78,9.13
4108418,F,63,N Scot,A,26/04/1995,4000,Scottish,Silver,0,11,3,7,29.44,25.14,11.98,11.89
4109171,M,59,Midlands,C,25/03/1993,6053,Midlands,Gold,0,6,5,1,28.71,29.1,39.89,7.98
4109724,F,39,London,B,01/04/1996,500,South East,Silver,1,8,2,1,23.58,30.14,23.83,15.06
4110811,,62,Midlands,F,05/06/1982,3000,Midlands,Silver,1,16,16,5,20.27,27.8,22.17,10.43
4111095,M,47,London,F,20/03/1989,0,South East,Tin,0,6,9,7,27.31,36.69,15.21,6.61
4113462,F,61,N West,F,16/09/1985,22800,North,Platinum,0,12,13,8,27.98,28.8,20.88,11.31
4113632,M,48,London,C,03/02/1994,6000,South East,Gold,0,5,5,7,25.71,49.86,14.92,5.99
4114329,F,44,Midlands,C,12/05/1987,5174,Midlands,Gold,0,9,11,2,33.44,30.3,8.01,10.13
4118243,,54,London,B,31/05/1990,6000,South East,Gold,0,12,8,5,21.62,29.06,13.46,12.69
4118898,F,64,East,D,22/11/1993,19597,Midlands,Gold,0,10,5,4,25.43,28.61,23.88,15.79
4119665,F,45,Midlands,D,,0,Midlands,Tin,0,12,,8,29.93,32.39,35.28,14.6
4119894,M,58,N Scot,A,22/11/1993,7500,Scottish,Gold,0,8,5,2,26.58,31.04,32.85,7.47
4120132,M,69,London,A,31/01/1991,12000,South East,Gold,0,12,8,1,20.2,48.54,9.14,8.49
4120655,F,32,S & S East,C,31/01/1994,0,South East,Tin,1,5,5,5,33.86,29.76,19.9,12.14
4121058,F,34,London,B,30/05/1990,0,South East,Tin,1,18,8,2,29.34,22.67,20.67,12.18
4122011,F,48,S & S East,C,29/01/1993,4000,South East,Silver,0,6,6,5,27.84,34.77,17.47,11.87
4123581,F,35,S & S East,,17/01/1994,0,South East,Tin,0,7,5,2,24.79,31.67,19.14,16.12
4123891,F,72,S & S East,C,03/12/1993,5000,South East,Silver,1,9,5,5,19.93,18.44,16.7,9.93
4126106,M,59,S & S East,C,01/01/1990,0,South East,Tin,0,7,9,3,36.16,36.61,15.78,8.48
4127293,M,76,Midlands,F,19/02/1973,56078,Midlands,Platinum,0,5,26,2,46.4,37.7,21.11,10.86
4128419,,51,London,D,01/04/1991,0,South East,Tin,1,4,7,4,27.65,27.94,10.64,11.69
4128869,,,London,B,20/02/1990,24053,South East,Platinum,1,4,9,,21.36,28.56,14.61,11.61
4130928,,50,S & S East,C,06/02/1996,6000,South East,Gold,0,5,3,2,26.97,29.86,10.47,10.28
4131347,U,56,Midlands,C,20/09/1995,20538,Midlands,Platinum,0,4,3,2,20.44,6.61,22.62,12.94
4132483,F,55,London,B,04/03/1993,6053,South East,Gold,0,8,5,8,20.33,39.07,34.4,11.21
4132688,M,70,N East,D,03/10/1996,12000,North,Gold,0,8,2,1,28.5,30.19,10.73,7.45
4136799,F,60,S West,E,22/03/1994,9000,South West,Gold,0,11,4,2,31.04,22.53,23.56,13.24
4137531,F,62,London,A,19/10/1973,35465,South East,Platinum,0,11,25,1,23.86,22.14,20.03,8.18
4138015,M,46,Midlands,B,03/03/1994,5000,Midlands,Silver,0,10,4,3,3.87,27.94,34.17,7.1
4138260,F,33,London,C,07/03/1994,0,South East,Tin,0,11,4,4,27.83,29.55,12.73,13.4
4139240,M,42,Midlands,E,23/09/1997,3000,Midlands,Silver,0,12,1,2,24.27,37.93,15.07,8.23
4139666,F,,London,B,17/01/1994,0,South East,Tin,1,7,5,1,32.22,20.71,14.88,8.02
4140222,M,46,S West,F,11/10/1993,0,South West,Silver,0,9,5,3,36.49,40.39,33.28,4.59
4142012,M,56,Midlands,D,29/07/1991,1000,Midlands,Silver,0,16,7,6,32.5,23.42,27.38,5.62
4142225,F,35,London,C,30/03/1995,1015,South East,Silver,1,6,3,8,36.94,36.58,29.58,12.79
4144317,M,49,Midlands,C,30/03/1994,3000,Midlands,Silver,0,18,4,1,10.23,44.85,7.44,8.2
4145089,F,58,London,B,05/04/1991,2500,South East,Silver,0,,7,8,17.3,30.51,7.76,11.35
4147030,F,46,London,E,01/05/1990,0,South East,Tin,0,8,8,1,22.97,24.92,8.91,15.15
4148509,,52,Wales & West,C,31/10/1995,2000,Midlands,Silver,0,10,3,8,22.5,42.05,21.65,11.26
4151097,F,34,N Scot,E,01/07/1990,0,Scottish,Tin,1,11,8,8,22.65,30.96,26.04,13.91
4154479,F,,S & S East,B,26/03/1990,1200,South East,Silver,1,14,8,6,30.21,35.02,18.56,11.63
4154789,F,33,S & S East,F,19/02/1994,3,South East,Silver,0,10,5,8,16.02,32.34,18.98,16.18
4156714,F,45,Midlands,D,26/03/1996,6000,Midlands,Gold,0,6,2,5,26.02,29.86,18.54,12.61
4158385,U,66,East,C,13/05/1996,6000,Midlands,Gold,0,3,2,5,15.44,14.24,28.49,14.22
4159055,F,37,Midlands,D,11/03/1993,10000,Midlands,Gold,1,11,5,6,30.42,29.68,8.63,11.86
4159292,U,62,London,E,01/08/1977,21553,South East,Platinum,0,10,21,5,27.05,18.67,8.13,8.22
4159632,,60,London,B,05/04/1994,6053,South East,Gold,0,11,4,1,19.48,27.51,12.59,11.06
4159713,M,37,N West,B,03/02/1994,0,North,Tin,1,11,5,1,23.51,33.95,16.64,6.04
4161807,F,48,East,D,13/01/1996,20486,Midlands,Platinum,0,9,3,3,32,33.88,11.49,11.1
4166485,F,72,N West,B,10/06/1991,3027,North,Silver,0,15,7,8,32.53,21.91,19.3,15.13
4167236,M,54,Ulster,,30/10/1997,2000,Midlands,Silver,0,,1,3,13.58,24.55,30.47,7.16
4168488,,64,Yorkshire,F,20/05/1994,6000,North,Gold,0,5,4,5,26.1,33.82,29.94,12.99
4168844,M,44,S & S East,B,23/03/1993,6053,South East,Gold,0,8,5,2,38.2,42.5,12.37,8.39
4169255,F,48,Wales & West,E,01/06/1994,1000,Midlands,Silver,1,14,4,4,38.35,37.64,10.97,10.46
4170210,F,54,London,D,30/12/1993,0,South East,Tin,0,7,5,3,30.54,33.23,17.43,12.59
4170482,F,71,East,F,01/01/1900,1000,Midlands,Silver,1,10,0,8,18.24,35.23,13.63,11.62
4172019,M,,London,B,15/06/1995,3000,South East,Silver,1,10,3,5,29.13,41.72,18.4,10.27
4173953,F,51,Midlands,F,04/04/1978,2000,Midlands,Silver,0,7,20,3,26.55,25.98,25.7,12.51
4174275,F,40,Midlands,B,21/08/1997,3000,Midlands,Silver,1,12,1,1,35.54,30.53,6.48,10.52
4178122,F,40,Wales & West,F,01/06/1990,50,Midlands,Silver,0,16,8,4,19.95,21.44,18.29,12.01
4180453,,57,East,F,29/04/1997,6000,Midlands,Gold,0,8,1,8,3.94,26.35,7.89,11.11
4180747,,76,Yorkshire,F,16/09/1997,6000,North,Gold,0,,1,2,29,29.22,10.21,11.22
4182391,F,40,S & S East,B,24/02/1990,500,South East,Silver,1,16,9,7,18.13,32.36,15.51,10.38
4185773,F,76,Wales & West,E,26/05/1994,1200,Midlands,Silver,1,10,4,8,24.34,38.18,19.93,13.8
